Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,January,25,2016,n,n,n,n,n,BIRKIRKARA,"140,000"
Monday,January,25,2016,y,n,n,n,n,FORT CAMBRIDGE,NaN
Monday,January,25,2016,n,n,n,n,n,GOZO,"370,000"
Monday,January,25,2016,n,n,y,n,n,GOZO,"220,000"
Monday,January,25,2016,n,n,y,n,n,MSIDA,"215,000"
Monday,January,25,2016,n,n,y,n,n,PENDER GARDENS,"850,000"
Monday,January,25,2016,n,n,n,n,n,NaN,NaN
Monday,January,25,2016,n,n,n,n,n,SLIEMA ,"326,000"
Sunday,January,24,2016,n,n,n,n,n,NaN,NaN
Sunday,January,24,2016,n,n,n,n,n,NaN,NaN
Sunday,January,24,2016,n,n,n,n,n,AN EXCELLENT INVESTMENT,"425,000"
Sunday,January,24,2016,n,y,y,n,n,ATTARD,"340,000"
Sunday,January,24,2016,n,y,n,n,n,ATTARD,"193,000"
Sunday,January,24,2016,y,n,n,n,n,ATTARD,"175,000"
Sunday,January,24,2016,n,n,y,y,y,ATTARD,"475,000"
Sunday,January,24,2016,n,n,y,y,n,ATTARD,"835,000"
Sunday,January,24,2016,n,n,n,y,n,ATTARD,"570,000"
Sunday,January,24,2016,n,n,y,n,n,ATTARD,"360,000"
Sunday,January,24,2016,y,n,n,n,n,ATTARD,"169,000"
Sunday,January,24,2016,n,n,y,n,n,ATTARD,"220,000"
Sunday,January,24,2016,n,n,y,n,n,ATTARD,"230,000"
Sunday,January,24,2016,n,y,y,n,n,ATTARD,"350,000"
Sunday,January,24,2016,y,n,n,n,n,ATTARD,"245,000"
Sunday,January,24,2016,y,n,n,n,n,ATTARD,"167,000"
Sunday,January,24,2016,y,n,y,n,n,ATTARD,"199,000"
Sunday,January,24,2016,n,n,n,n,y,ATTARD,"840,000"
Sunday,January,24,2016,n,n,n,n,n,ATTARD,NaN
Sunday,January,24,2016,n,y,n,n,n,NaN,"130,000"
Sunday,January,24,2016,n,y,n,n,n,NaN,NaN
Sunday,January,24,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"139,000"
Sunday,January,24,2016,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,January,24,2016,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"382,000"
Sunday,January,24,2016,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,January,24,2016,n,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"475,000"
Sunday,January,24,2016,y,n,n,n,n,BAĦRIJA,"190,000"
Sunday,January,24,2016,y,n,n,n,n,BAĦRIJA,"215,000"
Sunday,January,24,2016,y,n,n,n,n,BALZAN,"150,000"
Sunday,January,24,2016,n,n,y,n,n,BALZAN,"50,000"
Sunday,January,24,2016,n,n,n,y,n,BALZAN,"745,000"
Sunday,January,24,2016,n,n,y,y,y,BALZAN,"745,000"
Sunday,January,24,2016,n,n,y,y,y,BALZAN,"745,000"
Sunday,January,24,2016,n,n,y,n,y,BALZAN,"370,000"
Sunday,January,24,2016,y,n,n,n,n,BALZAN,"130,000"
Sunday,January,24,2016,n,n,y,n,y,BALZAN,"350,000"
